id,escolas_postos,bairro,endereco,lat,lon,quantidade,quantidade_original,nome,subprefeitura
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL,-22.88089,-43.22533,20.0,20,CAJU,CENTRO
634,ESCOLA MUNICIPAL ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187,-22.88957,-43.2362,121.0,121,BENFICA,CENTRO
483,ESCOLA MUNICIPAL CELESTINO SILVA,CENTRO,RUA DO LAVRADIO 56,-22.90929,-43.18358,220.0,220,CENTRO,CENTRO
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20,-22.89763,-43.22746,190.0,190,SAO CRISTOVAO,CENTRO
132,ESCOLA MUNICIPAL PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,-22.92441,-43.20858,67.0,67,RIO COMPRIDO,CENTRO
017,ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE 90,-22.98333,-43.19904,48.0,48,IPANEMA,ZONA SUL
055,ESCOLA MUNICIPAL SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,-22.91554,-43.19159,92.0,92,SANTA TERESA,CENTRO
490,ESCOLA MUNICIPAL TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS,-22.90712,-43.19507,578.0,578,CENTRO,CENTRO
600,ESCOLA MUNICIPAL URUGUAI,BENFICA,RUA ANA NERUA 192,-22.89849,-43.23776,591.0,591,BENFICA,CENTRO
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,-22.91723,-43.21104,473.0,473,RIO COMPRIDO,CENTRO
387,CENTRO INTEGRADO DE EDUCACAO PUBLICA PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA,-22.95917,-43.19972,456.0,456,HUMAITA,ZONA SUL
331,CENTRO INTEGRADO DE EDUCACAO PUBLICA TANCREDO NEVES,CATETE,RUA DO CATETE 77,-22.92278,-43.17668,223.0,223,CATETE,ZONA SUL
450,ESCOLA MUNICIPAL ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ 124,-22.94071,-43.17647,420.0,420,FLAMENGO,ZONA SUL
558,ESCOLA MUNICIPAL CICERO PENA,COPACABANA,AVENIDA ATLANTICA 1976,-22.96865,-43.18114,573.0,573,COPACABANA,ZONA SUL
413,ESCOLA MUNICIPAL COCIO BARCELOS,COPACABANA,RUA BARAO DE IPANEMA 34,-22.97483,-43.18906,327.0,'',COPACABANA,ZONA SUL
540,ESCOLA MUNICIPAL HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA 474,-22.98196,-43.21358,516.0,516,IPANEMA,ZONA SUL
309,ESCOLA MUNICIPAL MEXICO,BOTAFOGO,RUA DA MATRIZ 67,-22.95271,-43.19176,319.0,319,BOTAFOGO,ZONA SUL
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR 433,-22.95382,-43.16888,308.0,308,URCA,ZONA SUL
523,ESCOLA MUNICIPAL PRESIDENTE DA COSTA E SILVA,BOTAFOGO,RUA ASSUNCAO 257,-22.94556,-43.18659,111.0,111,BOTAFOGO,ZONA SUL
035,ESCOLA MUNICIPAL SENADOR CORREA,LARANJEIRAS,RUA SEN. CORREA,-22.93399,-43.18101,525.0,525,LARANJEIRAS,ZONA SUL
011,CENTRO INTEGRADO DE EDUCACAO PUBLICA SAMUEL WEINER,TIJUCA,AVENIDA HEITOR BELTRAO,-22.92127,-43.228,445.0,445,TIJUCA,GRANDE TIJUCA
226,ESCOLA MUNICIPAL AFRANIO PEIXOTO,ANDARAI,RUA FERREIRUA PONTES 328,-22.92686,-43.25491,164.0,164,ANDARAI,GRANDE TIJUCA
638,ESCOLA MUNICIPAL AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,-22.91545,-43.21109,293.0,293,PRACA DA BANDEIRA,GRANDE TIJUCA
126,ESCOLA MUNICIPAL DUQUE DE CAXIAS,GRAJAU,RUA MAL. JOFRE 74,-22.91854,-43.26509,399.0,399,GRAJAU,GRANDE TIJUCA
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,BOULEVARUA 28 DE SETEMBRO 353,-22.91615,-43.24705,185.0,185,VILA ISABEL,GRANDE TIJUCA
163,ESCOLA MUNICIPAL LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO 370,-22.92684,-43.23789,576.0,576,TIJUCA,GRANDE TIJUCA
361,ESCOLA MUNICIPAL PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,-22.92906,-43.23287,63.0,63,TIJUCA,GRANDE TIJUCA
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,VILA ISABEL,RUA OITO DE DEZEMBRO 275,-22.90982,-43.23939,491.0,491,VILA ISABEL,GRANDE TIJUCA
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,TIJUCA,RUA ALM. JOAO CANDIDO BRASIL 352,-22.91683,-43.23692,327.0,'NaN',TIJUCA,GRANDE TIJUCA
587,ESCOLA MUNICIPAL ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULARUA 296,-22.9937,-43.23558,336.0,336,VIDIGAL,ZONA SUL
653,ESCOLA MUNICIPAL LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRUA,-22.99742,-43.27218,159.0,159,SAO CONRADO,ZONA SUL
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA 109,-22.89203,-43.27992,342.0,342,TODOS OS SANTOS,ZONA NORTE
382,ESCOLA MUNICIPAL SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS,-22.98156,-43.21703,262.0,262,LEBLON,ZONA SUL
217,ESCOLA MUNICIPAL ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARUA 6742,-22.88134,-43.29409,440.0,440,PILARES,ZONA NORTE
378,ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA,-22.90627,-43.30792,365.0,365,AGUA SANTA,ZONA NORTE
429,ESCOLA MUNICIPAL FELIX PACHECO,PIEDADE,RUA ASSIS CARNEIRO 649,-22.89509,-43.31383,315.0,,PIEDADE,ZONA NORTE